Name,State,year,District,Party,Amount,2016,2018
"Representative Abraham, Ralph Lee",Louisiana,House: 2015-Present,5,Republican,3000,2000,1000
"Representative Adams, Alma S.",North Carolina,House: 2014-Present,12,Democratic,12000,7000,5000
"Representative Aderholt, Robert B.",Alabama,House: 1997-Present,4,Republican,90000,42000,48000
"Representative Aguilar, Pete",California,House: 2015-Present,31,Democratic,44000,13500,30500
"Senator Alexander, Lamar",Tennessee,Senate: 2003-Present,,Republican,287000,140500,146500
"Representative Allen, Rick W.",Georgia,House: 2015-Present,12,Republican,2000,1000,1000
"Representative Allred, Colin Z.",Texas,House: 2019-Present,32,Democratic,0,0,0
"Representative Amash, Justin",Michigan,House: 2011-Present,3,Republican,0,0,0
"Representative Amodei, Mark E.",Nevada,House: 2011-Present,2,Republican,2000,2000,0
"Representative Armstrong, Kelly",North Dakota,House: 2019-Present,,Republican,0,0,0
"Representative Arrington, Jodey C.",Texas,House: 2017-Present,19,Republican,3000,,3000
"Representative Ashford, Brad",Nebraska,House: 2015-2017,2,Democratic,0,0,0
"Representative Axne, Cynthia",Iowa,House: 2019-Present,3,Democratic,0,0,0
"Senator Ayotte, Kelly",New Hampshire,Senate: 2011-2017,,Republican,0,0,0
"Representative Babin, Brian",Texas,House: 2015-Present,36,Republican,1000,0,1000
"Representative Bacon, Don",Nebraska,House: 2017-Present,2,Republican,6000,0,6000
"Representative Baird, James R.",Indiana,House: 2019-Present,4,Republican,0,0,0
"Representative Balderson, Troy",Ohio,House: 2018-Present,12,Republican,0,0,0
"Senator Baldwin, Tammy",Wisconsin,Senate: 2013-Present | House: 1999-2013,,Democratic,16196,11696,4500
"Representative Banks, Jim",Indiana,House: 2017-Present,3,Republican,18000,0,18000
"Representative Barletta, Lou",Pennsylvania,House: 2011-2019,11,Republican,9500,7000,2500
"Representative Barr, Andy",Kentucky,House: 2013-Present,6,Republican,33000,13500,19500
"Representative Barragan, Nanette Diaz",California,House: 2017-Present,44,Democratic,5000,0,5000
"Senator Barrasso, John",Wyoming,Senate: 2007-Present,,Republican,264000,92000,172000
"Representative Barton, Joe",Texas,House: 1985-2019,6,Republican,44000,34000,10000
"Representative Bass, Karen",California,House: 2011-Present,37,Democratic,15500,2500,13000
"Representative Beatty, Joyce",Ohio,House: 2013-Present,3,Democratic,21500,12000,9500
"Representative Becerra, Xavier",California,House: 1993-2017,34,Democratic,0,0,0
"Representative Benishek, Dan",Michigan,House: 2011-2017,1,Republican,0,0,0
"Senator Bennet, Michael F.",Colorado,Senate: 2009-Present,,Democratic,285500,203500,82000
"Representative Bera, Ami",California,House: 2013-Present,7,Democratic,131000,56000,75000
"Representative Bergman, Jack",Michigan,House: 2017-Present,1,Republican,5500,0,5500
"Representative Beyer, Donald S., Jr.",Virginia,House: 2015-Present,8,Democratic,28000,15500,12500
"Representative Biggs, Andy",Arizona,House: 2017-Present,5,Republican,1000,0,1000
"Representative Bilirakis, Gus M.",Florida,House: 2007-Present,12,Republican,87500,46000,41500
"Representative Bishop, Mike",Michigan,House: 2015-2019,8,Republican,66000,10000,56000
"Representative Bishop, Rob",Utah,House: 2003-Present,1,Republican,12000,7000,5000
"Representative Bishop, Sanford D., Jr.",Georgia,House: 1993-Present,2,Democratic,4500,3500,1000
"Representative Black, Diane",Tennessee,House: 2011-2019,6,Republican,100000,68500,31500
"Senator Blackburn, Marsha",Tennessee,Senate: 2019-Present | House: 2003-2019,,Republican,165000,81000,84000
"Representative Blum, Rod",Iowa,House: 2015-2019,1,Republican,3000,2000,1000
"Representative Blumenauer, Earl",Oregon,House: 1995-Present,3,Democratic,12500,7500,5000
"Senator Blumenthal, Richard",Connecticut,Senate: 2011-Present,,Democratic,69500,56500,13000
"Representative Blunt Rochester, Lisa",Delaware,House: 2017-Present,,Democratic,25000,0,25000
"Senator Blunt, Roy",Missouri,Senate: 2011-Present | House: 1997-2011,,Republican,340500,194000,146500
"Representative Boehner, John A.",Ohio,House: 1991-2015,8,Republican,0,0,0
"Representative Bonamici, Suzanne",Oregon,House: 2012-Present,1,Democratic,24500,15000,9500
"Senator Booker, Cory A.",New Jersey,Senate: 2013-Present,,Democratic,84500,84500,0
"Senator Boozman, John",Arkansas,Senate: 2011-Present | House: 2001-2011,,Republican,53000,47500,5500
"Representative Bordallo, Madeleine Z.",Guam,House: 2003-2019,,Democratic,0,0,0
"Representative Bost, Mike",Illinois,House: 2015-Present,12,Republican,28500,11000,17500
"Representative Boustany, Charles W., Jr.",Louisiana,House: 2005-2017,3,Republican,0,0,0
"Senator Boxer, Barbara",California,Senate: 1993-2017 | House: 1983-1993,,Democratic,0,0,0
"Representative Boyle, Brendan F.",Pennsylvania,House: 2015-Present,2,Democratic,79000,31000,48000
"Representative Brady, Kevin",Texas,House: 1997-Present,8,Republican,391700,195700,196000
"Representative Brady, Robert A.",Pennsylvania,House: 1997-2019,1,Democratic,0,0,0
"Representative Brat, Dave",Virginia,House: 2014-2019,7,Republican,0,0,0
"Senator Braun, Mike ",Indiana,Senate: 2019-Present,,Republican,0,0,0
"Representative Bridenstine, Jim",Oklahoma,House: 2013-2018,1,Republican,0,0,0
"Representative Brindisi, Anthony",New York,House: 2019-Present,22,Democratic,0,0,0
"Representative Brooks, Mo",Alabama,House: 2011-Present,5,Republican,6000,6000,0
"Representative Brooks, Susan W.",Indiana,House: 2013-Present,5,Republican,142500,65000,77500
"Representative Brown, Anthony G.",Maryland,House: 2017-Present,4,Democratic,18500,0,18500
"Representative Brown, Corrine",Florida,House: 1993-2017,5,Democratic,0,0,0
"Senator Brown, Sherrod",Ohio,Senate: 2007-Present | House: 1993-2007,,Democratic,0,0,0
"Representative Brownley, Julia",California,House: 2013-Present,26,Democratic,24000,11000,13000
"Representative Buchanan, Vern",Florida,House: 2007-Present,16,Republican,30500,15000,15500
"Representative Buck, Ken",Colorado,House: 2015-Present,4,Republican,1000,1000,0
"Representative Bucshon, Larry",Indiana,House: 2011-Present,8,Republican,161500,64000,97500
"Representative Budd, Ted",North Carolina,House: 2017-Present,13,Republican,0,0,0
"Representative Burchett, Tim",Tennessee,House: 2019-Present,2,Republican,0,0,0
"Representative Burgess, Michael C.",Texas,House: 2003-Present,26,Republican,278392,124700,153692
"Senator Burr, Richard",North Carolina,Senate: 2005-Present | House: 1995-2005,,Republican,366599,280099,86500
"Representative Bustos, Cheri",Illinois,House: 2013-Present,17,Democratic,86500,24500,62000
"Representative Butterfield, G. K.",North Carolina,House: 2004-Present,1,Democratic,151900,"87,900",64000
"Representative Byrne, Bradley",Alabama,House: 2014-Present,1,Republican,4000,3000,1000
"Representative Calvert, Ken",California,House: 1993-Present,42,Republican,4500,2000,2500
"Senator Cantwell, Maria",Washington,Senate: 2001-Present | House: 1993-1995,,Democratic,0,0,0
"Senator Capito, Shelley Moore",West Virginia,Senate: 2015-Present | House: 2001-2015,,Republican,35500,17000,18500
"Representative Capps, Lois",California,House: 1997-2017,24,Democratic,0,0,0
"Representative Capuano, Michael E.",Massachusetts,House: 1999-2019,7,Democratic,0,0,0
"Representative Carbajal, Salud O.",California,House: 2017-Present,24,Democratic,7000,0,7000
"Representative Cardenas, Tony",California,House: 2013-Present,29,Democratic,168500,84000,84500
"Senator Cardin, Benjamin L.",Maryland,Senate: 2007-Present | House: 1987-2007,,Democratic,37000,18000,19000
"Representative Carney, John C., Jr.",Delaware,House: 2011-2017,,Democratic,0,0,0
"Senator Carper, Thomas R.",Delaware,Senate: 2001-Present | House: 1983-1993,,Democratic,247200,105500,141700
"Representative Carson, Andre",Indiana,House: 2008-Present,7,Democratic,31000,17000,14000
"Representative Carter, Earl L. ""Buddy""",Georgia,House: 2015-Present,1,Republican,85000,15000,70000
"Representative Carter, John R.",Texas,House: 2003-Present,31,Republican,1000,1000,0
"Representative Cartwright, Matt",Pennsylvania,House: 2013-Present,8,Democratic,11000,3500,7500
"Representative Case, Ed",Hawaii,"House: 2002-2007, 2019-Present",1,Democratic,0,0,0
"Senator Casey, Robert P., Jr.",Pennsylvania,Senate: 2007-Present,,Democratic,264700,118700,146000
"Senator Cassidy, Bill",Louisiana,Senate: 2015-Present | House: 2009-2015,,Republican,234000,106000,128000
"Representative Casten, Sean",Illinois,House: 2019-Present,6,Democratic,0,0,0
"Representative Castor, Kathy",Florida,House: 2007-Present,14,Democratic,9000,4000,5000
"Representative Castro, Joaquin",Texas,House: 2013-Present,20,Democratic,17500,11500,6000
"Representative Chabot, Steve",Ohio,"House: 1995-2009, 2011-Present",1,Republican,4574,2000,2574
"Representative Chaffetz, Jason",Utah,House: 2009-2017,3,Republican,0,0,0
"Representative Cheney, Liz",Wyoming,House: 2017-Present,,Republican,0,0,0
"Representative Chu, Judy",California,House: 2009-Present,27,Democratic,3000,2000,1000
"Representative Cicilline, David N.",Rhode Island,House: 2011-Present,1,Democratic,2500,1500,1000
"Representative Cisneros, Gilbert Ray, Jr.",California,House: 2019-Present,39,Democratic,0,0,0
"Representative Clark, Katherine M.",Massachusetts,House: 2013-Present,5,Democratic,129250,73500,55750
"Representative Clarke, Yvette D.",New York,House: 2007-Present,9,Democratic,41000,11500,29500
"Representative Clawson, Curt",Florida,House: 2014-2017,19,Republican,0,0,0
"Representative Clay, Wm. Lacy",Missouri,House: 2001-Present,1,Democratic,15000,10000,5000
"Representative Cleaver, Emanuel",Missouri,House: 2005-Present,5,Democratic,5500,5500,0
"Representative Cline, Ben",Virginia,House: 2019-Present,6,Republican,0,0,0
"Representative Cloud, Michael",Texas,House: 2018-Present,27,Republican,0,0,0
"Representative Clyburn, James E.",South Carolina,House: 1993-Present,6,Democratic,328762,158762,170000
"Senator Coats, Daniel",Indiana,"Senate: 1989-1999, 2011-2017 | House: 1981-1989",,Republican,0,0,0
"Senator Cochran, Thad",Mississippi,Senate: 1979-2018 | House: 1973-1979,,Republican,0,0,0
"Representative Coffman, Mike",Colorado,House: 2009-2019,6,Republican,0,0,0
"Representative Cohen, Steve",Tennessee,House: 2007-Present,9,Democratic,0,0,0
"Representative Cole, Tom",Oklahoma,House: 2003-Present,4,Republican,74500,36500,38000
"Representative Collins, Chris",New York,House: 2013-Present,27,Republican,115000,73000,42000
"Representative Collins, Doug",Georgia,House: 2013-Present,9,Republican,39500,15000,24500
"Senator Collins, Susan M.",Maine,Senate: 1997-Present,,Republican,14500,4500,10000
"Representative Comer, James",Kentucky,House: 2016-Present,1,Republican,15250,12500,2750
"Representative Comstock, Barbara",Virginia,House: 2015-2019,10,Republican,23000,7000,16000
"Representative Conaway, K. Michael",Texas,House: 2005-Present,11,Republican,28500,15000,13500
"Representative Connolly, Gerald E.",Virginia,House: 2009-Present,11,Democratic,47000,26500,20500
"Representative Conyers, John, Jr.",Michigan,House: 1965-2017,13,Democratic,0,0,0
"Representative Cook, Paul",California,House: 2013-Present,8,Republican,2000,1000,1000
"Senator Coons, Christopher A.",Delaware,Senate: 2010-Present,,Democratic,226000,122000,104000
"Representative Cooper, Jim",Tennessee,"House: 1983-1995, 2003-Present",5,Democratic,1000,0,1000
"Senator Corker, Bob",Tennessee,Senate: 2007-2019,,Republican,63500,41500,22000
"Senator Cornyn, John",Texas,Senate: 2002-Present,,Republican,223000,100000,123000
"Representative Correa, J. Luis",California,House: 2017-Present,46,Democratic,22000,0,22000
"Senator Cortez Masto, Catherine ",Nevada,Senate: 2017-Present,,Democratic,27500,0,27500
"Representative Costa, Jim",California,House: 2005-Present,16,Democratic,12500,9000,3500
"Representative Costello, Ryan A.",Pennsylvania,House: 2015-2019,6,Republican,0,0,0
"Senator Cotton, Tom",Arkansas,Senate: 2015-Present | House: 2013-2015,,Republican,1000,1000,0
"Representative Courtney, Joe",Connecticut,House: 2007-Present,2,Democratic,25900,25900,0
"Representative Cox, TJ",California,House: 2019-Present,21,Democratic,0,0,0
"Representative Craig, Angie",Minnesota,House: 2019-Present,2,Democratic,0,0,0
"Senator Cramer, Kevin",North Dakota,Senate: 2019-Present | House: 2013-2019,,Republican,36500,22500,14000
"Senator Crapo, Mike",Idaho,Senate: 1999-Present | House: 1993-1999,,Republican,239500,130000,109500
"Representative Crawford, Eric A. ""Rick""",Arkansas,House: 2011-Present,1,Republican,2500,2500,0
"Representative Crenshaw, Ander",Florida,House: 2001-2017,4,Republican,0,0,0
"Representative Crenshaw, Dan",Texas,House: 2019-Present,2,Republican,0,0,0
"Representative Crist, Charlie",Florida,House: 2017-Present,13,Democratic,3000,0,3000
"Representative Crow, Jason",Colorado,House: 2019-Present,6,Democratic,0,0,0
"Representative Crowley, Joseph",New York,House: 1999-2019,14,Democratic,0,0,0
"Senator Cruz, Ted",Texas,Senate: 2013-Present,,Republican,5500,0,5500
"Representative Cuellar, Henry",Texas,House: 2005-Present,28,Democratic,1000,0,1000
"Representative Culberson, John Abney",Texas,House: 2001-2019,7,Republican,0,0,0
"Representative Cummings, Elijah E.",Maryland,House: 1995-Present,7,Democratic,3000,2000,1000
"Representative Cunningham, Joe",South Carolina,House: 2019-Present,1,Democratic,0,0,0
"Representative Curbelo, Carlos",Florida,House: 2015-2019,26,Republican,0,0,0
"Representative Curtis, John R.",Utah,House: 2017-Present,3,Republican,0,0,0
"Senator Daines, Steve",Montana,Senate: 2015-Present | House: 2013-2015,,Republican,29500,15000,14500
"Representative Davids, Sharice",Kansas,House: 2019-Present,3,Democratic,0,0,0
"Representative Davidson, Warren",Ohio,House: 2016-Present,8,Republican,0,0,0
"Representative Davis, Danny K.",Illinois,House: 1997-Present,7,Democratic,43500,35500,8000
"Representative Davis, Rodney",Illinois,House: 2013-Present,13,Republican,110900,49200,61700
"Representative Davis, Susan A.",California,House: 2001-Present,53,Democratic,5000,4000,1000
"Representative Dean, Madeleine",Pennsylvania,House: 2019-Present,4,Democratic,0,0,0
"Representative DeFazio, Peter A.",Oregon,House: 1987-Present,4,Democratic,0,0,0
"Representative DeGette, Diana",Colorado,House: 1997-Present,1,Democratic,195000,105000,90000
"Representative Delaney, John K.",Maryland,House: 2013-2019,6,Democratic,10000,9500,500
"Representative DeLauro, Rosa L.",Connecticut,House: 1991-Present,3,Democratic,16000,7000,9000
"Representative DelBene, Suzan K.",Washington,House: 2012-Present,1,Democratic,83436,27736,55700
"Representative Delgado, Antonio",New York,House: 2019-Present,19,Democratic,0,0,0
"Representative Demings, Val Butler",Florida,House: 2017-Present,10,Democratic,11500,0,11500
"Representative Denham, Jeff",California,House: 2011-2019,10,Republican,58000,24500,33500
"Representative Dent, Charles W.",Pennsylvania,House: 2005-2018,15,Republican,0,0,0
"Representative DeSantis, Ron",Florida,House: 2013-2018,6,Republican,0,0,0
"Representative DeSaulnier, Mark",California,House: 2015-Present,11,Democratic,500,500,0
"Representative DesJarlais, Scott",Tennessee,House: 2011-Present,4,Republican,0,0,0
"Representative Deutch, Theodore E.",Florida,House: 2010-Present,22,Democratic,3000,3000,0
"Representative Diaz-Balart, Mario",Florida,House: 2003-Present,25,Republican,8000,6500,1500
"Representative Dingell, Debbie",Michigan,House: 2015-Present,12,Democratic,31000,15000,16000
"Representative Doggett, Lloyd",Texas,House: 1995-Present,35,Democratic,0,0,0
"Representative Dold, Robert J.",Illinois,"House: 2011-2013, 2015-2017",10,Republican,0,0,0
"Senator Donnelly, Joe",Indiana,Senate: 2013-2019 | House: 2007-2013,,Democratic,0,0,0
"Representative Donovan, Daniel M., Jr.",New York,House: 2015-2019,11,Republican,0,0,0
"Representative Doyle, Michael F.",Pennsylvania,House: 1995-Present,18,Democratic,16000,8000,8000
"Senator Duckworth, Tammy",Illinois,Senate: 2017-Present | House: 2013-2017,,Democratic,32500,2000,30500
"Representative Duffy, Sean P.",Wisconsin,House: 2011-Present,7,Republican,51500,18500,33000
"Representative Duncan, Jeff",South Carolina,House: 2011-Present,3,Republican,13000,0,13000
"Representative Duncan, John J., Jr.",Tennessee,House: 1987-2019,2,Republican,0,0,0
"Representative Dunn, Neal P.",Florida,House: 2017-Present,2,Republican,15000,0,15000
"Senator Durbin, Richard J.",Illinois,Senate: 1997-Present | House: 1983-1997,,Democratic,14000,8500,5500
"Representative Edwards, Donna F.",Maryland,House: 2008-2017,4,Democratic,0,0,0
"Representative Ellison, Keith",Minnesota,House: 2007-2019,5,Democratic,0,0,0
"Representative Ellmers, Renee L.",North Carolina,House: 2011-2017,2,Republican,0,0,0
"Representative Emmer, Tom",Minnesota,House: 2015-Present,6,Republican,3500,3500,0
"Representative Engel, Eliot L.",New York,House: 1989-Present,16,Democratic,52500,35000,17500
"Senator Enzi, Michael B.",Wyoming,Senate: 1997-Present,,Republican,96500,,96500
"Senator Ernst, Joni ",Iowa,Senate: 2015-Present,,Republican,4500,3000,1500
"Representative Escobar, Veronica",Texas,House: 2019-Present,16,Democratic,0,0,0
"Representative Eshoo, Anna G.",California,House: 1993-Present,18,Democratic,206100,108100,98000
"Representative Espaillat, Adriano",New York,House: 2017-Present,13,Democratic,2000,0,2000
"Representative Estes, Ron",Kansas,House: 2017-Present,4,Republican,0,0,0
"Representative Esty, Elizabeth H.",Connecticut,House: 2013-2019,5,Democratic,0,0,0
"Representative Evans, Dwight",Pennsylvania,House: 2016-Present,3,Democratic,9000,3000,6000
"Representative Farenthold, Blake",Texas,House: 2011-2018,27,Republican,0,0,0
"Representative Farr, Sam",California,House: 1993-2017,20,Democratic,0,0,0
"Representative Faso, John J.",New York,House: 2017-2019,19,Republican,0,0,0
"Representative Fattah, Chaka",Pennsylvania,House: 1995-2016,2,Democratic,0,0,0
"Senator Feinstein, Dianne",California,Senate: 1992-Present,,Democratic,72000,35000,37000
"Representative Ferguson, A. Drew, IV",Georgia,House: 2017-Present,3,Republican,3500,0,3500
"Representative Fincher, Stephen Lee",Tennessee,House: 2011-2017,8,Republican,0,0,0
"Representative Finkenauer, Abby",Iowa,House: 2019-Present,1,Democratic,0,0,0
"Senator Fischer, Deb",Nebraska,Senate: 2013-Present,,Republican,69000,20000,49000
"Representative Fitzpatrick, Brian K.",Pennsylvania,House: 2017-Present,1,Republican,6000,0,6000
"Representative Fitzpatrick, Michael G.",Pennsylvania,"House: 2005-2007, 2011-2017",8,Republican,0,0,0
"Senator Flake, Jeff",Arizona,Senate: 2013-2019 | House: 2001-2013,,Republican,44000,35500,8500
"Representative Fleischmann, Charles J. ""Chuck""",Tennessee,House: 2011-Present,3,Republican,0,0,0
"Representative Fleming, John",Louisiana,House: 2009-2017,4,Republican,0,0,0
"Representative Fletcher, Lizzie",Texas,House: 2019-Present,7,Democratic,0,0,0
"Representative Flores, Bill",Texas,House: 2011-Present,17,Republican,77362,32500,44862
"Representative Forbes, J. Randy",Virginia,House: 2001-2017,4,Republican,0,0,0
"Representative Fortenberry, Jeff",Nebraska,House: 2005-Present,1,Republican,500,0,500
"Representative Foster, Bill",Illinois,"House: 2008-2011, 2013-Present",11,Democratic,24000,7500,16500
"Representative Foxx, Virginia",North Carolina,House: 2005-Present,5,Republican,13500,8000,5500
"Representative Frankel, Lois",Florida,House: 2013-Present,21,Democratic,4000,4000,0
"Senator Franken, Al",Minnesota,Senate: 2009-2018,,Democratic,0,0,0
"Representative Franks, Trent",Arizona,House: 2003-2017,8,Republican,0,0,0
"Representative Frelinghuysen, Rodney P.",New Jersey,House: 1995-2019,11,Republican,152500,106000,46500
"Representative Fudge, Marcia L.",Ohio,House: 2008-Present,11,Democratic,35500,24000,11500
"Representative Fulcher, Russ",Idaho,House: 2019-Present,1,Republican,0,0,0
"Representative Gabbard, Tulsi",Hawaii,House: 2013-Present,2,Democratic,0,0,0
"Representative Gaetz, Matt",Florida,House: 2017-Present,1,Republican,2000,0,2000
"Representative Gallagher, Mike",Wisconsin,House: 2017-Present,8,Republican,2000,0,2000
"Representative Gallego, Ruben",Arizona,House: 2015-Present,7,Democratic,12000,10000,2000
"Representative Garamendi, John",California,House: 2009-Present,3,Democratic,2000,2000,0
"Representative Garcia, Jesus G. ""Chuy""",Illinois,House: 2019-Present,4,Democratic,0,0,0
"Representative Garcia, Sylvia R.",Texas,House: 2019-Present,29,Democratic,0,0,0
"Senator Gardner, Cory",Colorado,Senate: 2015-Present | House: 2011-2015,,Republican,159500,57000,102500
"Representative Garrett, Scott",New Jersey,House: 2003-2017,5,Republican,0,0,0
"Representative Garrett, Thomas A., Jr.",Virginia,House: 2017-2019,5,Republican,0,0,0
"Representative Gianforte, Greg",Montana,House: 2017-Present,,Republican,0,0,0
"Representative Gibbs, Bob",Ohio,House: 2011-Present,7,Republican,5000,5000,0
"Representative Gibson, Christopher P.",New York,House: 2011-2017,19,Republican,0,0,0
"Senator Gillibrand, Kirsten E.",New York,Senate: 2009-Present | House: 2007-2009,,Democratic,21500,12000,9500
"Representative Gohmert, Louie",Texas,House: 2005-Present,1,Republican,0,0,0
"Representative Golden, Jared F.",Maine,House: 2019-Present,2,Democratic,0,0,0
"Representative Gomez, Jimmy",California,House: 2017-Present,34,Democratic,10500,0,10500
"Representative Gonzalez, Anthony",Ohio,House: 2019-Present,16,Republican,0,0,0
"Representative Gonzalez, Vicente",Texas,House: 2017-Present,15,Democratic,2000,0,2000
"Representative Gonzalez-Colon, Jenniffer",Puerto Rico,House: 2017-Present,,Republican,0,0,0
"Representative Gooden, Lance",Texas,House: 2019-Present,5,Republican,0,0,0
"Representative Goodlatte, Bob",Virginia,House: 1993-2019,6,Republican,22500,16500,6000
"Representative Gosar, Paul A.",Arizona,House: 2011-Present,4,Republican,0,0,0
"Representative Gottheimer, Josh",New Jersey,House: 2017-Present,5,Democratic,31500,0,31500
"Representative Gowdy, Trey",South Carolina,House: 2011-2019,4,Republican,5500,3000,2500
"Representative Graham, Gwen",Florida,House: 2015-2017,2,Democratic,0,0,0
"Senator Graham, Lindsey",South Carolina,Senate: 2003-Present | House: 1995-2003,,Republican,2000,0,2000
"Representative Granger, Kay",Texas,House: 1997-Present,12,Republican,15500,0,15500
"Senator Grassley, Chuck",Iowa,Senate: 1981-Present | House: 1975-1981,,Republican,77000,63500,13500
"Representative Graves, Garret",Louisiana,House: 2015-Present,6,Republican,0,0,0
"Representative Graves, Sam",Missouri,House: 2001-Present,6,Republican,19000,14500,4500
"Representative Graves, Tom",Georgia,House: 2010-Present,14,Republican,8500,2500,6000
"Representative Grayson, Alan",Florida,"House: 2009-2011, 2013-2017",9,Democratic,0,0,0
"Representative Green, Al",Texas,House: 2005-Present,9,Democratic,0,0,0
"Representative Green, Gene",Texas,House: 1993-2019,29,Democratic,162500,109000,53500
"Representative Green, Mark E.",Tennessee,House: 2019-Present,7,Republican,0,0,0
"Representative Griffith, H. Morgan",Virginia,House: 2011-Present,9,Republican,58000,15000,43000
"Representative Grijalva, Raul M.",Arizona,House: 2003-Present,3,Democratic,0,0,0
"Representative Grothman, Glenn",Wisconsin,House: 2015-Present,6,Republican,1000,0,1000
"Representative Guest, Michael",Mississippi,House: 2019-Present,3,Republican,0,0,0
"Representative Guinta, Frank C.",New Hampshire,"House: 2011-2013, 2015-2017",1,Republican,0,0,0
"Representative Guthrie, Brett",Kentucky,House: 2009-Present,2,Republican,151800,,151800
"Representative Gutierrez, Luis V.",Illinois,House: 1993-2019,4,Democratic,0,0,0
"Representative Haaland, Debra A.",New Mexico,House: 2019-Present,1,Democratic,0,0,0
"Representative Hagedorn, Jim",Minnesota,House: 2019-Present,1,Republican,0,0,0
"Representative Hahn, Janice",California,House: 2011-2017,44,Democratic,0,0,0
"Representative Hanabusa, Colleen",Hawaii,House: 2011-2019,1,Democratic,0,0,0
"Representative Handel, Karen C.",Georgia,House: 2017-2019,6,Republican,0,0,0
"Representative Hanna, Richard L.",New York,House: 2011-2017,22,Republican,0,0,0
"Representative Harder, Josh",California,House: 2019-Present,10,Democratic,0,0,0
"Representative Hardy, Cresent",Nevada,House: 2015-2017,4,Republican,0,0,0
"Representative Harper, Gregg",Mississippi,House: 2009-2019,3,Republican,0,0,0
"Representative Harris, Andy",Maryland,House: 2011-Present,1,Republican,51500,18500,33000
"Senator Harris, Kamala D.",California,Senate: 2017-Present,,Democratic,0,0,0
"Representative Hartzler, Vicky",Missouri,House: 2011-Present,4,Republican,7500,3000,4500
"Senator Hassan, Margaret Wood",New Hampshire,Senate: 2017-Present,,Democratic,8000,0,8000
"Representative Hastings, Alcee L.",Florida,House: 1993-Present,20,Democratic,4000,2000,2000
"Senator Hatch, Orrin G.",Utah,Senate: 1977-2019,,Republican,250400,169100,81300
"Senator Hawley, Josh ",Missouri,Senate: 2019-Present,,Republican,0,0,0
"Representative Hayes, Jahana",Connecticut,House: 2019-Present,5,Democratic,0,0,0
"Representative Heck, Denny",Washington,House: 2013-Present,10,Democratic,24000,13500,10500
"Representative Heck, Joseph J.",Nevada,House: 2011-2017,3,Republican,0,0,0
"Senator Heinrich, Martin",New Mexico,Senate: 2013-Present | House: 2009-2013,,Democratic,139500,61000,78500
"Senator Heitkamp, Heidi",North Dakota,Senate: 2013-2019,,Democratic,139500,,139500
"Senator Heller, Dean",Nevada,Senate: 2011-2019 | House: 2007-2011,,Republican,0,0,0
"Representative Hensarling, Jeb",Texas,House: 2003-2019,5,Republican,0,0,0
"Representative Hern, Kevin",Oklahoma,House: 2018-Present,1,Republican,0,0,0
"Representative Herrera Beutler, Jaime",Washington,House: 2011-Present,3,Republican,1000,0,1000
"Representative Hice, Jody B.",Georgia,House: 2015-Present,10,Republican,1000,1000,0
"Representative Higgins, Brian",New York,House: 2005-Present,26,Democratic,14500,0,14500
"Representative Higgins, Clay",Louisiana,House: 2017-Present,3,Republican,0,0,0
"Representative Hill, J. French",Arkansas,House: 2015-Present,2,Republican,7000,3500,3500
"Representative Hill, Katie",California,House: 2019-Present,25,Democratic,0,0,0
"Representative Himes, James A.",Connecticut,House: 2009-Present,4,Democratic,74000,39000,35000
"Representative Hinojosa, Ruben",Texas,House: 1997-2017,15,Democratic,0,0,0
"Senator Hirono, Mazie K.",Hawaii,Senate: 2013-Present | House: 2007-2013,,Democratic,55500,28500,27000
"Senator Hoeven, John",North Dakota,Senate: 2011-Present,,Republican,58500,31000,27500
"Representative Holding, George",North Carolina,House: 2013-Present,2,Republican,169426,72000,97426
"Representative Hollingsworth, Trey",Indiana,House: 2017-Present,9,Republican,14000,0,14000
"Representative Honda, Michael M.",California,House: 2001-2017,17,Democratic,0,0,0
"Representative Horn, Kendra S.",Oklahoma,House: 2019-Present,5,Democratic,0,0,0
"Representative Horsford, Steven",Nevada,"House: 2013-2015, 2019-Present",4,Democratic,0,0,0
"Representative Houlahan, Chrissy",Pennsylvania,House: 2019-Present,6,Democratic,0,0,0
"Representative Hoyer, Steny H.",Maryland,House: 1981-Present,5,Democratic,274750,146000,128750
"Representative Hudson, Richard",North Carolina,House: 2013-Present,8,Republican,143500,67000,76500
"Representative Huelskamp, Tim",Kansas,House: 2011-2017,1,Republican,0,0,0
"Representative Huffman, Jared",California,House: 2013-Present,2,Democratic,11900,5400,6500
"Representative Huizenga, Bill",Michigan,House: 2011-Present,2,Republican,2500,2500,0
"Representative Hultgren, Randy",Illinois,House: 2011-2019,14,Republican,0,0,0
"Representative Hunter, Duncan D.",California,House: 2009-Present,50,Republican,5000,2500,2500
"Representative Hurd, Will",Texas,House: 2015-Present,23,Republican,20000,6500,13500
"Representative Hurt, Robert",Virginia,House: 2011-2017,5,Republican,0,0,0
"Senator Hyde-Smith, Cindy",Mississippi,Senate: 2018-Present,,Republican,0,0,0
"Senator Inhofe, James M.",Oklahoma,Senate: 1994-Present | House: 1987-1995,,Republican,18500,7500,11000
"Senator Isakson, Johnny",Georgia,Senate: 2005-Present | House: 1999-2005,,Republican,243700,149200,94500
"Representative Israel, Steve",New York,House: 2001-2017,3,Democratic,0,0,0
"Representative Issa, Darrell E.",California,House: 2001-2019,49,Republican,0,0,0
"Representative Jackson Lee, Sheila",Texas,House: 1995-Present,18,Democratic,3500,3500,0
